appid,short_description
153,"Recruit. Explore. Control.Two years after Commander Shepard repelled invading Reapers bent on the destruction of organic life, a mysterious new enemy has emerged. On the fringes of known space, something is silently abducting entire human colonies."
154,"Feel like the star of a martial arts film in Overgrowth, as you jump, kick, throw, and slash your way to victory. Free the rabbits from their evil overlords in the main story, then play through the prequel story, and finally, try out nine years of mods developed by the community, or create your own!"
155,"Cricket Revolution is a multiplayer cricket sports action title for the PC. With innovative gameplay, single and multiplayer game modes, local and global tournaments, and challenging AI opponents that learn from your every move, Cricket Revolution is a cricket gaming experience unlike any other!"
156,"As King, it is your duty to lead your people in their struggle to raise your kingdom from its humble beginnings to a position of power and prestige. War, diplomacy and a burgeoning economy are the means by which you increase your power and expand your influence."
157,This sequel to Fantasy Wars continues its story after banishing the archdemon. The shadows of destruction begin to loom on the horizon once a human mage uncovers a dark and powerful secret dating back to the remote past of the Elven race.
158,"Hearts of Iron III lets you play the most engaging conflict in world history, World War 2, on all fronts as any country and through multiple different scenarios. Guide your nation to glory between 1936 and 1948 and wage war, conduct diplomacy and build your industry in the most detailed World War 2 game ever made."
159,"Supreme Ruler 2020 Gold contains Supreme Ruler 2020 and the expansion, Global Crisis: SUPREME RULER 2020 Overnight, the US dollar crashes AND the sound echoes across the globe. The economic crisis amplifies global instabilities and regional disputes, tearing the world asunder. Nations dissolve, economies collapse, and tensions escalate."
160,"In East India Company, players will enjoy building the World's most powerful trading empire &amp; engaging in vigorous battles in both single player &amp; multiplayer modes, all within a breathtaking cinematic game environment."
161,"In the world of Majesty, you are the ruler of the kingdom Ardania. At your service are your loyal and somewhat obnoxious subordinates, who have their own minds about how things should be done. In fact, Majesty is the only game where your heroes decide on their own what should be done and when, leaving you to try to control them through..."
162,"The pinnacle of alien evolution, Maw is a cowardly fat blob concerned mostly with snacking and lounging. He can, however, absorb the traits of anything he eats, is virtually indestructible, and can grow to unlimited size. If he wasn't a danger to all life in the universe, he'd make the perfect pet."
163,"Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess."
164,"Crayon Physics Deluxe is a 2D physics puzzle / sandbox game, in which you get to experience what it would be like if your drawings would be magically transformed into real physical objects. Solve puzzles with your artistic vision and creative use of physics."
165,"There is one rule in the game. And it needs to be broken. There is one goal. And when you attain it, you die."
166,"The Graveyard is a very short computer game. You play an old lady who visits a graveyard. You walk around, sit on a bench and listen to a song. It's more like an explorable painting than an actual game. An experiment with poetry and storytelling but without words."
167,"The story of Twin Sector takes place in a post-apocalyptic future where the remains of mankind have been put to artificial sleep in cryogenic chambers deep under the contaminated surface of earth — until the planet becomes habitable again. You as the player must take the role of Ashley Simms, the protagonist of Twin Sector."
168,"Booster Trooper is the future of multiplayer platform shooters. It provides tons of fun with its fast paced action and larger-than-life weapons. You can run or fly around the map, blasting your enemies to bits with bullets, rockets, grenades, magma and other weapons from your arsenal."
169,"As a survivor of the mutant virus, make your way through the city and wipe out the hordes of flesh eating mutants. Teamwork is the key to survive the DEAD HORDE..."
